age_gp,sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,CED,MJ,-7716719.098007644,-7661520.134167416,-7235017.751255622,-7531238.232738796,277499.5181718873,0,0,0,0,0,-7716719.098007644,-7661520.134167416,-7235017.751255622,-7531238.232738796,277499.5181718873,-201111932.33305794,-197192831.49633962,-187218234.71936145,-195068096.0787046,7540432.909342552,-5674160.843419335,-5640519.7185545685,-5321338.076368087,-5540330.063353967,204967.19596136114,-2042558.254588311,-2021000.415612848,-1913679.6748875347,-1990908.1693848304,72664.84124810582,17015259.307733044,17441761.690644838,17496960.654485077,17311479.789216224,277499.51817189244,9780241.556477433,9780241.556477433,9780241.556477433,9780241.556477433,0,12762084.895424303,13081266.537610771,13114907.662475562,12981076.882410182,204967.19596136114,7440746.819056207,7440746.819056207,7440746.819056207,7440746.819056208,0,4253174.412308747,4360495.153034065,4382052.992009525,4330402.906806044,72664.84124810771,2339494.7374212174,2339494.7374212174,2339494.7374212174,2339494.7374212174,0,0,0,0,0,0,-2042558.254588311,-2021000.415612848,-1913679.6748875347,-1990908.1693848304,72664.84124810582,0,0,0,0,0,0,0,0,0,0,4253174.412308747,4360495.153034065,4382052.992009525,4330402.906806044,72664.84124810771,2339494.7374212174,2339494.7374212174,2339494.7374212174,2339494.7374212174,0
20-34,Female,HIS,FL,mrh-eq,-250555.75515700108,-247297.28642637288,-234330.3969340352,-243890.82300121165,9034.867219641628,0,0,0,0,0,-250555.75515700108,-247297.28642637288,-234330.3969340352,-243890.82300121165,9034.867219641628,-201111932.33305794,-197192831.49633962,-187218234.71936145,-195068096.0787046,7540432.909342552,-181709.01197955507,-179580.93843466105,-169971.77742948977,-176955.9954661427,6582.488129561125,-68846.74317744611,-67716.34799171184,-64358.61950454554,-66934.82753506902,2457.21986199389,579377.7557308113,592344.6452231498,595603.1139537769,588938.1817979879,9034.867219641672,345047.3587967757,345047.3587967757,345047.3587967757,345047.3587967757,0,433201.5271907919,442810.68819596246,444938.761740857,440185.7452274445,6582.4881295608775,263229.74976130214,263229.74976130214,263229.74976130214,263229.74976130214,0,146176.22854001916,149533.95702718577,150664.35221291994,148752.4365705428,2457.219861994018,81817.60903547372,81817.60903547372,81817.60903547372,81817.60903547372,0,0,0,0,0,0,-68846.74317744611,-67716.34799171184,-64358.61950454554,-66934.82753506902,2457.21986199389,0,0,0,0,0,0,0,0,0,0,146176.22854001916,149533.95702718577,150664.35221291994,148752.4365705428,2457.219861994018,81817.60903547372,81817.60903547372,81817.60903547372,81817.60903547372,0
20-34,Female,HIS,Food_price,USD,-4447887.310392175,-4282692.671349219,-4170448.2716829255,-4301271.702709451,146904.34084835928,0,0,0,0,0,-4447887.310392175,-4282692.671349219,-4170448.2716829255,-4301271.702709451,146904.34084835928,-201111932.33305794,-197192831.49633962,-187218234.71936145,-195068096.0787046,7540432.909342552,-3036461.625141182,-2928557.1644605077,-2845734.582471723,-2937357.8236506446,100671.5746030567,-1411425.6852509922,-1354135.5068887132,-1324713.6892112042,-1363913.8790588079,46416.91143845742,9145016.814888041,9257261.214554332,9422455.853597278,9275840.245914562,146904.34084835157,4974568.543205111,4974568.543205111,4974568.543205111,4974568.543205111,0,6465167.146141049,6547989.728129821,6655894.188810501,6556790.387319964,100671.5746030532,3619432.5636693267,3619432.5636693267,3619432.5636693267,3619432.5636693262,0,2679849.668746992,2709271.486424503,2766561.664786782,2719049.858594597,46416.911438458235,1355135.9795357878,1355135.9795357878,1355135.9795357878,1355135.9795357878,0,0,0,0,0,0,-1411425.6852509922,-1354135.5068887132,-1324713.6892112042,-1363913.8790588079,46416.91143845742,0,0,0,0,0,0,0,0,0,0,2679849.668746992,2709271.486424503,2766561.664786782,2719049.858594597,46416.911438458235,1355135.9795357878,1355135.9795357878,1355135.9795357878,1355135.9795357878,0
20-34,Female,NHB,CED,MJ,-5916453.716091882,-5764038.208112478,-5535830.325926236,-5737444.392601307,201647.6405815886,0,0,0,0,0,-5916453.716091882,-5764038.208112478,-5535830.325926236,-5737444.392601307,201647.6405815886,-180399786.8692071,-177700410.36404964,-168765140.75070074,-175512377.6945088,6409979.9104948165,-4366173.613496039,-4244479.807110551,-4079142.6454135114,-4229166.349106498,151649.92014676344,-1550280.1025958392,-1519558.401001927,-1456687.6805127284,-1508278.0434948087,50218.528758446126,11993211.69224822,12221419.574434454,12373835.082413858,12194825.758923287,201647.6405815837,6457381.366321982,6457381.366321982,6457381.366321982,6457381.366321982,0,9017696.072616257,9183033.234313307,9304727.040698782,9167719.776309246,151649.92014676318,4938553.427202742,4938553.427202742,4938553.427202742,4938553.427202742,0,2975515.61963196,3038386.340121157,3069108.04171507,3027105.98261404,50218.52875844551,1518827.9391192324,1518827.9391192324,1518827.9391192324,1518827.9391192321,0,0,0,0,0,0,-1550280.1025958392,-1519558.401001927,-1456687.6805127284,-1508278.0434948087,50218.528758446126,0,0,0,0,0,0,0,0,0,0,2975515.61963196,3038386.340121157,3069108.04171507,3027105.98261404,50218.52875844551,1518827.9391192324,1518827.9391192324,1518827.9391192324,1518827.9391192321,0
20-34,Female,NHB,FL,mrh-eq,-186786.2016483737,-184990.88690240274,-175994.94534821372,-182464.35118022095,6086.500692319406,0,0,0,0,0,-186786.2016483737,-184990.88690240274,-175994.94534821372,-182464.35118022095,6086.500692319406,-180399786.8692071,-177700410.36404964,-168765140.75070074,-175512377.6945088,6409979.9104948165,-136345.37340145785,-134850.8801974113,-128292.8156168808,-133074.1884863643,4508.848545733834,-50440.828246915946,-50140.006704991465,-47702.12973133278,-49390.162693856655,1580.9465296025407,396800.33745734865,405796.2790115379,407591.5937575091,403269.7432893561,6086.50069231964,220805.39210913528,220805.39210913528,220805.39210913528,220805.39210913528,0,297881.0817532841,304439.1463338143,305933.639537861,302662.45462276746,4508.848545733703,169588.2661364032,169588.2661364032,169588.2661364032,169588.2661364032,0,98919.25570406465,101357.13267772345,101657.954219648,100607.28866658862,1580.9465296026322,51217.12597273194,51217.12597273194,51217.12597273194,51217.12597273194,0,0,0,0,0,0,-50440.828246915946,-50140.006704991465,-47702.12973133278,-49390.162693856655,1580.9465296025407,0,0,0,0,0,0,0,0,0,0,98919.25570406465,101357.13267772345,101657.954219648,100607.28866658862,1580.9465296026322,51217.12597273194,51217.12597273194,51217.12597273194,51217.12597273194,0
20-34,Female,NHB,Food_price,USD,-4399324.500777593,-4217812.938149319,-4173831.544263997,-4266069.1377082495,125823.51724092159,0,0,0,0,0,-4399324.500777593,-4217812.938149319,-4173831.544263997,-4266069.1377082495,125823.51724092159,-180399786.8692071,-177700410.36404964,-168765140.75070074,-175512377.6945088,6409979.9104948165,-2988071.672314133,-2860399.1392139564,-2830122.074235135,-2894572.9876775895,88242.35483353617,-1411252.8284634582,-1357413.798935363,-1343709.4700288598,-1371496.1500306586,37582.915412718496,7982655.243702556,8026636.637587881,8208148.200216153,8074892.83714681,125823.5172409214,3808823.6994385617,3808823.6994385617,3808823.6994385617,3808823.699438562,0,5575671.936819529,5605949.001798349,5733621.5348985195,5640122.850261982,88242.35483353211,2745549.8625843916,2745549.8625843916,2745549.8625843916,2745549.8625843916,0,2406983.306883031,2420687.635789534,2474526.665317632,2434769.9868848305,37582.91541271999,1063273.8368541698,1063273.8368541698,1063273.8368541698,1063273.8368541698,0,0,0,0,0,0,-1411252.8284634582,-1357413.798935363,-1343709.4700288598,-1371496.1500306586,37582.915412718496,0,0,0,0,0,0,0,0,0,0,2406983.306883031,2420687.635789534,2474526.665317632,2434769.9868848305,37582.91541271999,1063273.8368541698,1063273.8368541698,1063273.8368541698,1063273.8368541698,0
20-34,Female,NHW,CED,MJ,-23530732.043506764,-22268759.54583393,-22117907.51003663,-22658626.37456219,816655.3507756451,0,0,0,0,0,-23530732.043506764,-22268759.54583393,-22117907.51003663,-22658626.37456219,816655.3507756451,-612871365.9394528,-584778268.5007874,-583240424.8414918,-594095901.4058294,17559185.010700315,-17731977.54215512,-16783323.516923126,-16624501.761296919,-17060457.646609366,630360.1419482925,-5799173.960290044,-5493825.2076781,-5485855.487849167,-5598168.727952841,188040.31037186517,48457994.86371997,48608846.8995172,49870819.397190005,48998713.728245474,816655.3507755987,26340087.353683293,26340087.353683293,26340087.353683293,26340087.353683293,0,36934337.31632159,37093159.07194776,38041813.097179756,37370293.20163401,630360.1419482795,20309835.55502464,20309835.55502464,20309835.55502464,20309835.55502464,0,11516107.286507808,11524077.00633673,11829425.758948673,11628420.526611475,188040.31037186045,6030251.798658632,6030251.798658632,6030251.798658632,6030251.798658632,0,0,0,0,0,0,-5799173.960290044,-5493825.2076781,-5485855.487849167,-5598168.727952841,188040.31037186517,0,0,0,0,0,0,0,0,0,0,11516107.286507808,11524077.00633673,11829425.758948673,11628420.526611475,188040.31037186045,6030251.798658632,6030251.798658632,6030251.798658632,6030251.798658632,0
20-34,Female,NHW,FL,mrh-eq,-740879.8022865194,-704007.8429050979,-702112.8799154942,-716280.4732180164,23005.906919345365,0,0,0,0,0,-740879.8022865194,-704007.8429050979,-702112.8799154942,-716280.4732180164,23005.906919345365,-612871365.9394528,-584778268.5007874,-583240424.8414918,-594095901.4058294,17559185.010700315,-548473.3644897824,-519932.05511121056,-519528.6244876134,-529804.9950252367,17469.493637773656,-192427.67098745145,-184500.4516082001,-182202.05799500036,-186475.4781927796,5647.159646234312,1635932.406870209,1637827.3698598118,1674699.3292412336,1650100.0001727305,23005.906919345252,933819.526954713,933819.526954713,933819.526954713,933819.5269547129,0,1238439.6145979078,1238843.045221505,1267384.3546000766,1248715.9851355308,17469.493637773525,718910.9901102943,718910.9901102943,718910.9901102943,718910.9901102943,0,397110.59483942034,399408.98845262,407336.20783187106,401384.0150371994,5647.159646234081,214908.5368444196,214908.5368444196,214908.5368444196,214908.53684441964,0,0,0,0,0,0,-192427.67098745145,-184500.4516082001,-182202.05799500036,-186475.4781927796,5647.159646234312,0,0,0,0,0,0,0,0,0,0,397110.59483942034,399408.98845262,407336.20783187106,401384.0150371994,5647.159646234081,214908.5368444196,214908.5368444196,214908.5368444196,214908.53684441964,0
20-34,Female,NHW,Food_price,USD,-15088685.567010652,-14304179.480433065,-14125144.536254574,-14516625.49530994,539469.7696160515,0,0,0,0,0,-15088685.567010652,-14304179.480433065,-14125144.536254574,-14516625.49530994,539469.7696160515,-612871365.9394528,-584778268.5007874,-583240424.8414918,-594095901.4058294,17559185.010700315,-10299237.11472592,-9741067.743983427,-9637818.969195494,-9900689.005721869,374557.2502749781,-4789448.452284732,-4563111.736449636,-4487325.567059083,-4615936.489588072,165461.99357333838,30338485.692685127,30517520.636863552,31302026.7234412,30729966.651740473,539469.7696160632,16213341.15643052,16213341.15643052,16213341.15643052,16213341.15643052,0,21265668.680194303,21368917.454982255,21927086.825724702,21528538.716720674,374557.2502749578,11627849.710998831,11627849.710998831,11627849.710998831,11627849.710998831,0,9072817.012490788,9148603.181881342,9374939.897716448,9201427.935019782,165461.99357334347,4585491.445431705,4585491.445431705,4585491.445431705,4585491.445431705,0,0,0,0,0,0,-4789448.452284732,-4563111.736449636,-4487325.567059083,-4615936.489588072,165461.99357333838,0,0,0,0,0,0,0,0,0,0,9072817.012490788,9148603.181881342,9374939.897716448,9201427.935019782,165461.99357334347,4585491.445431705,4585491.445431705,4585491.445431705,4585491.445431705,0
20-34,Female,OTH,CED,MJ,-3938263.920841056,-3560561.065185032,-3355045.7573052007,-3620977.7486152747,311384.3083446065,0,0,0,0,0,-3938263.920841056,-3560561.065185032,-3355045.7573052007,-3620977.7486152747,311384.3083446065,-108738175.51821156,-101206181.83477794,-95280611.1020124,-101769839.01045096,7099729.584961874,-2935440.507049663,-2672574.3955175327,-2513842.7113102735,-2709112.791070119,224138.46199409818,-1002823.4137913956,-887986.6696675075,-841203.0459949316,-911864.9575451609,87540.86610032477,8946613.099697761,9152128.4075776,9529831.263233617,9212545.091007838,311384.30834460503,5591567.342392553,5591567.342392553,5591567.342392553,5591567.342392553,0,6808629.199623221,6967360.883830488,7230226.995362613,7003899.27938307,224138.46199409902,4294786.488312957,4294786.488312957,4294786.488312957,4294786.488312957,0,2137983.9000745313,2184767.523747108,2299604.2678709943,2208645.8116247607,87540.86610032392,1296780.8540795988,1296780.8540795988,1296780.8540795988,1296780.8540795988,0,0,0,0,0,0,-1002823.4137913956,-887986.6696675075,-841203.0459949316,-911864.9575451609,87540.86610032477,0,0,0,0,0,0,0,0,0,0,2137983.9000745313,2184767.523747108,2299604.2678709943,2208645.8116247607,87540.86610032392,1296780.8540795988,1296780.8540795988,1296780.8540795988,1296780.8540795988,0
20-34,Female,OTH,FL,mrh-eq,-128835.44801197661,-115535.85349824959,-109309.06552418765,-118017.54000339523,10499.366517960469,0,0,0,0,0,-128835.44801197661,-115535.85349824959,-109309.06552418765,-118017.54000339523,10499.366517960469,-108738175.51821156,-101206181.83477794,-95280611.1020124,-101769839.01045096,7099729.584961874,-94395.69509735556,-85476.39515976049,-80680.74317249299,-86923.28917741928,7326.347243089588,-34439.7529146211,-30059.458338489138,-28628.322351694776,-31094.25082597601,3187.2279736288697,306888.77370027377,313115.56167433574,326415.1561880628,315597.24817948136,10499.366517960503,197579.7081760861,197579.7081760861,197579.7081760861,197579.7081760861,0,232226.88157474517,237022.5335620129,245941.8334996078,238469.42757967158,7326.347243089591,151546.1384022524,151546.1384022524,151546.1384022524,151546.1384022524,0,74661.89212552838,76093.02811232282,80473.32268845475,77127.82059980965,3187.2279736288815,46033.56977383366,46033.56977383366,46033.56977383366,46033.56977383365,0,0,0,0,0,0,-34439.7529146211,-30059.458338489138,-28628.322351694776,-31094.25082597601,3187.2279736288697,0,0,0,0,0,0,0,0,0,0,74661.89212552838,76093.02811232282,80473.32268845475,77127.82059980965,3187.2279736288815,46033.56977383366,46033.56977383366,46033.56977383366,46033.56977383365,0
20-34,Female,OTH,Food_price,USD,-2711518.6689478126,-2197533.0138255176,-2177804.360765271,-2370956.523320973,318532.36743066687,0,0,0,0,0,-2711518.6689478126,-2197533.0138255176,-2177804.360765271,-2370956.523320973,318532.36743066687,-108738175.51821156,-101206181.83477794,-95280611.1020124,-101769839.01045096,7099729.584961874,-1844569.8949083625,-1504011.0450344733,-1503582.6098003518,-1623355.050171234,207100.5672306996,-866971.3232622971,-693972.9532480154,-673815.8649536455,-747601.4731497389,111767.28172905788,5626087.348974606,5645816.002034853,6159801.657157145,5819239.511530307,318532.36743066553,3448282.9882093356,3448282.9882093356,3448282.9882093356,3448282.9882093356,0,3998896.0410886654,3999324.476322789,4339883.326196675,4118668.481459548,207100.56723069813,2495313.431288313,2495313.431288313,2495313.431288313,2495313.431288313,0,1626785.4218746661,1646942.5101690337,1819940.8801833217,1700571.0300707603,111767.28172906098,952969.5569210183,952969.5569210183,952969.5569210183,952969.5569210183,0,0,0,0,0,0,-866971.3232622971,-693972.9532480154,-673815.8649536455,-747601.4731497389,111767.28172905788,0,0,0,0,0,0,0,0,0,0,1626785.4218746661,1646942.5101690337,1819940.8801833217,1700571.0300707603,111767.28172906098,952969.5569210183,952969.5569210183,952969.5569210183,952969.5569210183,0
20-34,Male,HIS,CED,MJ,-6751912.836570388,-6658521.30833014,-6568618.239012838,-6659745.329004858,96476.6645279114,0,0,0,0,0,-6751912.836570388,-6658521.30833014,-6568618.239012838,-6659745.329004858,96476.6645279114,-151717949.23134625,-142136387.23784482,-132260778.37618387,-142033212.89813972,10241006.038187994,-4939203.240933841,-4879523.027567561,-4790641.376080312,-4869276.908928624,78692.34074912813,-1812709.595636544,-1778998.2807625835,-1777976.8629325223,-1790468.4200762324,20804.941019443235,16748608.26541463,16838511.334731936,16931902.862972185,16839735.355406653,96476.66452791324,10179990.026401795,10179990.026401795,10179990.026401795,10179990.026401795,0,12508453.607764706,12597335.259251941,12657015.472618239,12587089.140613018,78692.34074912981,7717812.231684392,7717812.231684392,7717812.231684392,7717812.231684391,0,4240154.657649925,4241176.075479982,4274887.390353948,4252646.214793635,20804.94101944466,2462177.794717406,2462177.794717406,2462177.794717406,2462177.794717406,0,0,0,0,0,0,-1812709.595636544,-1778998.2807625835,-1777976.8629325223,-1790468.4200762324,20804.941019443235,0,0,0,0,0,0,0,0,0,0,4240154.657649925,4241176.075479982,4274887.390353948,4252646.214793635,20804.94101944466,2462177.794717406,2462177.794717406,2462177.794717406,2462177.794717406,0
20-34,Male,HIS,FL,mrh-eq,-198947.00346338795,-192333.92861828426,-190631.88969917642,-194057.0991186337,4623.813512073977,0,0,0,0,0,-198947.00346338795,-192333.92861828426,-190631.88969917642,-194057.0991186337,4623.813512073977,-151717949.23134625,-142136387.23784482,-132260778.37618387,-142033212.89813972,10241006.038187994,-143787.6970112468,-138336.40270255238,-137692.43608166158,-140023.18434739576,3524.9672322806937,-55159.30645214108,-53997.52591573187,-52939.453617514744,-54033.91477123787,1168.768528262125,539577.4237205102,541279.4626396181,547892.5374847217,543002.6331399675,4623.813512073977,348945.5340213338,348945.5340213338,348945.5340213338,348945.5340213338,0,404527.7900274438,405171.75664833374,410623.05095702835,406858.5382931775,3524.967232280465,266835.3539457816,266835.3539457816,266835.3539457816,266835.3539457816,0,135049.6336930671,136107.7059912842,137269.4865276935,136144.09484679022,1168.7685282621553,82110.18007555231,82110.18007555231,82110.18007555231,82110.18007555231,0,0,0,0,0,0,-55159.30645214108,-53997.52591573187,-52939.453617514744,-54033.91477123787,1168.768528262125,0,0,0,0,0,0,0,0,0,0,135049.6336930671,136107.7059912842,137269.4865276935,136144.09484679022,1168.7685282621553,82110.18007555231,82110.18007555231,82110.18007555231,82110.18007555231,0
20-34,Male,HIS,Food_price,USD,-4013085.6310074604,-3993962.866934687,-3660319.885888472,-3883604.896066813,208820.71809549342,0,0,0,0,0,-4013085.6310074604,-3993962.866934687,-3660319.885888472,-3883604.896066813,208820.71809549342,-151717949.23134625,-142136387.23784482,-132260778.37618387,-142033212.89813972,10241006.038187994,-2689154.4576846273,-2667641.6918258197,-2448594.769463434,-2598331.461473687,140118.21739340114,-1326195.3855411734,-1323805.383755147,-1211599.3268573596,-1285273.4345931255,68929.5115203906,8892752.978770757,9226395.959816962,9245518.723889746,9116037.988949096,208820.71809549013,5232433.0928822765,5232433.0928822765,5232433.0928822765,5232433.0928822765,0,6157682.483945516,6376729.406307909,6398242.172166716,6307419.175955773,140118.21739340585,3709087.714482088,3709087.714482088,3709087.714482088,3709087.714482088,0,2734944.705257563,2847150.7621553484,2849540.7639413713,2808618.8129933267,68929.51152038855,1523345.378400199,1523345.378400199,1523345.378400199,1523345.378400199,0,0,0,0,0,0,-1326195.3855411734,-1323805.383755147,-1211599.3268573596,-1285273.4345931255,68929.5115203906,0,0,0,0,0,0,0,0,0,0,2734944.705257563,2847150.7621553484,2849540.7639413713,2808618.8129933267,68929.51152038855,1523345.378400199,1523345.378400199,1523345.378400199,1523345.378400199,0
20-34,Male,NHB,CED,MJ,-4683635.411069925,-4427814.770321282,-4218948.982142333,-4444290.157187841,244987.64546992394,0,0,0,0,0,-4683635.411069925,-4427814.770321282,-4218948.982142333,-4444290.157187841,244987.64546992394,-123531716.52173868,-119572162.65176758,-106375974.07154742,-116331238.19203107,9455508.479795903,-3410729.2351557063,-3217123.5188038656,-3063612.6735592647,-3231191.894630967,183098.73028408724,-1272906.1759142189,-1210691.2515174265,-1155336.3085830607,-1213098.2625568744,61913.97873303181,10195568.07789236,10404433.866071334,10660254.506819963,10420909.252937881,244987.64546992976,5976619.095750026,5976619.095750026,5976619.095750026,5976619.095750026,0,7595875.931796603,7749386.777041201,7942992.493393043,7763455.152868304,183098.7302840869,4532263.258237328,4532263.258237328,4532263.258237328,4532263.258237328,0,2599692.146095759,2655047.0890301256,2717262.013426916,2657454.1000695727,61913.97873303131,1444355.8375126994,1444355.8375126994,1444355.8375126994,1444355.8375126992,0,0,0,0,0,0,-1272906.1759142189,-1210691.2515174265,-1155336.3085830607,-1213098.2625568744,61913.97873303181,0,0,0,0,0,0,0,0,0,0,2599692.146095759,2655047.0890301256,2717262.013426916,2657454.1000695727,61913.97873303131,1444355.8375126994,1444355.8375126994,1444355.8375126994,1444355.8375126992,0
20-34,Male,NHB,FL,mrh-eq,-145175.7600120082,-138602.41592241882,-129802.29170357838,-137821.0895612781,8119.5427484920765,0,0,0,0,0,-145175.7600120082,-138602.41592241882,-129802.29170357838,-137821.0895612781,8119.5427484920765,-123531716.52173868,-119572162.65176758,-106375974.07154742,-116331238.19203107,9455508.479795903,-104380.03159542718,-99440.94029890103,-92895.62498140323,-98877.35292312149,6064.098530792479,-40795.7284165811,-39161.4756235177,-36906.66672217524,-38943.73663815663,2055.542076727537,333505.1829812737,342305.307200114,348878.65128970356,341523.98083897337,8119.542748492114,203702.89127769507,203702.89127769507,203702.89127769507,203702.89127769507,0,248142.81630051028,254688.1316180082,259627.22291453453,254124.5442422287,6064.098530792638,155247.1913191072,155247.1913191072,155247.1913191072,155247.1913191072,0,85362.36668076323,87617.17558210567,89251.42837516911,87399.43659674462,2055.542076727553,48455.69995858799,48455.69995858799,48455.69995858799,48455.69995858799,0,0,0,0,0,0,-40795.7284165811,-39161.4756235177,-36906.66672217524,-38943.73663815663,2055.542076727537,0,0,0,0,0,0,0,0,0,0,85362.36668076323,87617.17558210567,89251.42837516911,87399.43659674462,2055.542076727553,48455.69995858799,48455.69995858799,48455.69995858799,48455.69995858799,0
20-34,Male,NHB,Food_price,USD,-3126718.8885241533,-3074651.4031378757,-2928286.381653827,-3041564.548366728,108297.66640477513,0,0,0,0,0,-3126718.8885241533,-3074651.4031378757,-2928286.381653827,-3041564.548366728,108297.66640477513,-123531716.52173868,-119572162.65176758,-106375974.07154742,-116331238.19203107,9455508.479795903,-2098201.5022125295,-2060315.0091170566,-1962842.0190132707,-2039407.4663071223,73506.75354279982,-1028517.3863116226,-1014336.3940208254,-965444.3626405607,-1002157.0820596088,34831.708815827755,5818735.390549154,5965100.412033197,6017167.897419478,5932013.557262052,108297.66640477236,2890449.0088953194,2890449.0088953194,2890449.0088953194,2890449.0088953194,0,3983221.8977130675,4080694.887816852,4118581.380912325,4059787.345006918,73506.7535427993,2020379.8786997956,2020379.8786997956,2020379.8786997956,2020379.8786997956,0,1835513.4928360886,1884405.5242163534,1898586.516507149,1872226.2122551363,34831.70881582718,870069.130195528,870069.130195528,870069.130195528,870069.1301955279,0,0,0,0,0,0,-1028517.3863116226,-1014336.3940208254,-965444.3626405607,-1002157.0820596088,34831.708815827755,0,0,0,0,0,0,0,0,0,0,1835513.4928360886,1884405.5242163534,1898586.516507149,1872226.2122551363,34831.70881582718,870069.130195528,870069.130195528,870069.130195528,870069.1301955279,0
20-34,Male,NHW,CED,MJ,-20432734.041282482,-20325511.995684497,-19895141.840368688,-20212126.69402912,299498.01403716893,0,0,0,0,0,-20432734.041282482,-20325511.995684497,-19895141.840368688,-20212126.69402912,299498.01403716893,-457404918.6215378,-453563488.574494,-440045795.0213303,-450168308.3969081,9597858.679032965,-15101023.695603386,-15076650.910299528,-14770066.504982581,-14977629.289242303,194153.08058815514,-5331710.345679082,-5248861.085384964,-5125075.335386106,-5234497.404786809,109464.35462340858,48524923.237284824,48955293.39260067,49062515.43819865,48841908.09094528,299498.0140371844,28629781.39691611,28629781.39691611,28629781.39691611,28629781.39691611,0,36534717.25344809,36841301.65876502,36865674.4440689,36742280.037707806,194153.0805881522,21764650.74846546,21764650.74846546,21764650.74846546,21764650.74846546,0,11990205.983836751,12113991.733835611,12196840.994129743,12099628.053237462,109464.3546234165,6865130.648450648,6865130.648450648,6865130.648450648,6865130.6484506475,0,0,0,0,0,0,-5331710.345679082,-5248861.085384964,-5125075.335386106,-5234497.404786809,109464.35462340858,0,0,0,0,0,0,0,0,0,0,11990205.983836751,12113991.733835611,12196840.994129743,12099628.053237462,109464.3546234165,6865130.648450648,6865130.648450648,6865130.648450648,6865130.6484506475,0
