"age","female","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI","leg_tot",1.32910290153302,0.28477946595298,1.46927407998303,1.02479979757508,1.51426050380845,0.0258704658587505,0.00544220137222915,0.0281586090421544,0.0200828209116642,0.0297131890999433,2.81586090421544,2.00828209116642,2.97131890999434,0.00688821597582201,0.00147589961973659,0.00761466789285227,0.00531113304284698,0.0078478147793213
25,0,1,"AA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI","leg_tot",0.176978734592276,0.0697821392144889,0.191423556340052,0.105620560773829,0.236058809925112,0.0286430187439022,0.00890665495806785,0.0320746522361303,0.0192081705483915,0.0351609784710191,3.20746522361303,1.92081705483914,3.51609784710191,0.000917210959056047,0.000361653296828903,0.000992072771347758,0.000547389696658107,0.00122339968100603
25,0,1,"AFF","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI","leg_tot",0.0187730373276109,0.00613321012260491,0.0201745441344702,0.0124660793878666,0.0238887144815249,0.00321677269971536,0.000814741769525158,0.00336598110702879,0.00238915111995399,0.00391756713326032,0.336598110702879,0.238915111995399,0.391756713326033,9.72932460576228e-05,3.17860083676529e-05,0.000104556702909682,6.46067713013977e-05,0.000123805782489598
25,0,1,"APCA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"CC","direct","dairy_tot",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355952,66.1858539165528,0.069217513473718,0.0134936379291807,0.0758306991982614,0.0547998845157109,0.0780139345658633,7.58306991982614,5.47998845157109,7.80139345658633,0.29713226755459,0.0579688651943197,0.314376330560272,0.236591912604248,0.343015168950103
25,0,1,"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CC","medBMI","leg_tot",1.49426787545159,1.37912759492762,1.7638180556949,0.0884427310903374,2.67097536660602,0.00175543344154042,0.00164190989156704,0.00201200675302868,0.000100924687902272,0.00319185488041354,0.201200675302868,0.0100924687902272,0.319185488041354,0.00774420087411683,0.00714747422575046,0.00914117311433698,0.000458363782472456,0.0138426115615741
25,0,1,"CC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","medBMI","leg_tot",7.94961612850989,0.806543896793821,7.84076498280089,7.23491266765536,8.75684306321706,0.0371522006673156,0.00847337063570527,0.0337180269404072,0.0310741555724668,0.0461492934300365,3.37180269404072,3.10741555724668,4.61492934300365,0.041199724080727,0.00417999881626089,0.0406355915368928,0.037495698010695,0.045383262813018
25,0,1,"CM","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
