"female","race","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AA","leg_tot",67.2071079999114,5.05160368890654,67.5929090825062,62.2546272327556,71.8316578468616,0.014972539101918,0.00130038012096331,0.0151457870518955,0.0136717979778978,0.0161260194684572,1.51457870518955,1.36717979778978,1.61260194684572,0.091614637123714,0.00688618886640083,0.092140549147542,0.0848635695380391,0.0979186794891351
0,1,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","leg_tot",139.740588635209,7.82105022885256,136.730132197314,134.01500222418,148.025063018448,0.0150719147017578,0.000855953422490256,0.0146892643709454,0.0144847988866519,0.0159842832980541,1.46892643709454,1.44847988866519,1.59842832980541,0.190490019586704,0.0106614121625887,0.186386259101506,0.182685078458043,0.201783157127783
0,1,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","leg_tot",57.569502956168,17.5292056025302,53.7079534775592,42.8637761042969,75.5575468648565,0.00160370193413352,0.000503158260874061,0.00147767582668678,0.00119064347239414,0.00212388258720262,0.147767582668678,0.119064347239414,0.212388258720262,0.0784769539961288,0.0238952673033467,0.0732130099767183,0.0584305650163144,0.102997695392442
0,1,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"CC","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.0702559991838591,0.00645746750843791,0.0735367138001741,0.063352795425605,0.0743705955182454,7.35367138001741,6.3352795425605,7.43705955182454,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"CC","leg_tot",114.224070962522,25.6566791426128,113.835448794882,90.0174873422935,138.760983425245,0.00219297074083816,0.000538756606969227,0.00215383860769695,0.00169879670434607,0.00272040709050029,0.215383860769695,0.169879670434607,0.272040709050029,0.155706697155286,0.0349743861832759,0.155176939516159,0.122709036039218,0.189154652264613
0,1,"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"CM","leg_tot",128.439536812183,10.7542843034255,128.975073555764,118.004868648537,138.418998743786,0.01408795751937,0.0010563670088168,0.0140022956937058,0.0131232928507777,0.0151254347397767,1.40022956937058,1.31232928507777,1.51254347397767,0.175084777601226,0.0146599055264345,0.175814804616071,0.160860562845249,0.188688469394583
0,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"DIAB","leg_tot",1100.05270729134,158.829199442442,1031.05588393581,989.573622025948,1269.17909240893,0.0390351237124842,0.00535580013508395,0.0366833631819454,0.035328859302351,0.0447403845735754,3.66833631819454,3.5328859302351,4.47403845735754,1.49955760030008,0.216511019512824,1.4055032789266,1.34895595104652,1.73010542272109
0,1,"ECA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","leg_tot",168.474301324565,26.4658221673896,161.503217623503,146.957358199783,195.916665595251,0.0203444160203509,0.00304652859007323,0.0192294992221642,0.0180732558768658,0.0235632554422946,1.92294992221642,1.80732558768658,2.35632554422946,0.229658922097074,0.0360773847618817,0.220156157841354,0.200327695162103,0.267067498649408
0,1,"ENDO","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
