"age","female","disease_type2","riskfactor","V1","V2","V3"
25,0,"Cancer","dairy_tot",0.022495555381205,0.0216531263408914,0.0168236970307108
25,0,"DIAB","dairy_tot",0,0,0
25,0,"HHD","dairy_tot",0,0,0
25,0,"HSTK","dairy_tot",0,0,0
25,0,"IHD","dairy_tot",0,0,0
25,0,"ISTK","dairy_tot",0,0,0
25,0,"OSTK","dairy_tot",0,0,0
25,0,"Other_CVD","dairy_tot",0,0,0
25,1,"Cancer","dairy_tot",0.00920358411763099,0.00952266198679237,0.00961817778513424
25,1,"DIAB","dairy_tot",0,0,0
25,1,"HHD","dairy_tot",0,0,0
25,1,"HSTK","dairy_tot",0,0,0
25,1,"IHD","dairy_tot",0,0,0
25,1,"ISTK","dairy_tot",0,0,0
25,1,"OSTK","dairy_tot",0,0,0
25,1,"Other_CVD","dairy_tot",0,0,0
35,0,"Cancer","dairy_tot",0.0251809163010293,0.0259181062160224,0.0279708701325448
35,0,"DIAB","dairy_tot",0,0,0
35,0,"HHD","dairy_tot",0,0,0
35,0,"HSTK","dairy_tot",0,0,0
35,0,"IHD","dairy_tot",0,0,0
35,0,"ISTK","dairy_tot",0,0,0
35,0,"OSTK","dairy_tot",0,0,0
35,0,"Other_CVD","dairy_tot",0,0,0
35,1,"Cancer","dairy_tot",0.0138259733306411,0.0123807914846416,0.0139939678372646
35,1,"DIAB","dairy_tot",0,0,0
35,1,"HHD","dairy_tot",0,0,0
35,1,"HSTK","dairy_tot",0,0,0
35,1,"IHD","dairy_tot",0,0,0
35,1,"ISTK","dairy_tot",0,0,0
35,1,"OSTK","dairy_tot",0,0,0
35,1,"Other_CVD","dairy_tot",0,0,0
45,0,"Cancer","dairy_tot",0.0233539944148399,0.0197475402185265,0.0191734614182281
45,0,"DIAB","dairy_tot",0,0,0
45,0,"HHD","dairy_tot",0,0,0
45,0,"HSTK","dairy_tot",0,0,0
45,0,"IHD","dairy_tot",0,0,0
45,0,"ISTK","dairy_tot",0,0,0
45,0,"OSTK","dairy_tot",0,0,0
45,0,"Other_CVD","dairy_tot",0,0,0
