"","age","female","race","pathway","disease_type2","V1","V2","V3"
"1",25,0,1,"direct","Cancer",0.0945288423365689,0.0853615226610552,0.0687910496175153
"2",35,0,1,"direct","Cancer",0.088500651571935,0.103135911800272,0.0920461210420878
"3",45,0,1,"direct","Cancer",0.0906522093153318,0.0773029970841194,0.0552952248576034
"4",55,0,1,"direct","Cancer",0.0773937576039312,0.0930177259308348,0.0913394153346662
"5",65,0,1,"direct","Cancer",0.09860971308907,0.0860239806528005,0.103868853914211
"6",75,0,1,"direct","Cancer",0.0828785328033799,0.0546183586391512,0.0728686903670431
"7",25,1,1,"direct","Cancer",0.078525496190809,0.0816485502982616,0.0889381480140129
"8",35,1,1,"direct","Cancer",0.0857209539967767,0.0642685564266227,0.0955932899338681
"9",45,1,1,"direct","Cancer",0.0891557957341639,0.0847216989484612,0.0736363775712259
"10",55,1,1,"direct","Cancer",0.0841854485314979,0.0828560495600591,0.0949489420960181
"11",65,1,1,"direct","Cancer",0.0945900069265889,0.0881953675378724,0.0890809191056682
"12",75,1,1,"direct","Cancer",0.101577314199042,0.0917982010530675,0.0750834824448882
"13",25,0,2,"direct","Cancer",0.0925270309687544,0.0952749155028333,0.0856568596565801
"14",35,0,2,"direct","Cancer",0.0955628211082959,0.132871502060931,0.118148956658079
"15",45,0,2,"direct","Cancer",0.105278281369779,0.0990488867327493,0.10387986644284
"16",55,0,2,"direct","Cancer",0.110036750686674,0.124728740211899,0.134545239421112
"17",65,0,2,"direct","Cancer",0.0869701030950695,0.116475480161111,0.115965609734227
"18",75,0,2,"direct","Cancer",0.113371872622185,0.105935845777841,0.100231230466091
"19",25,1,2,"direct","Cancer",0.0864950077334229,0.102974880091377,0.101081271583049
"20",35,1,2,"direct","Cancer",0.0977139746418804,0.119225519390478,0.130539848897343
"21",45,1,2,"direct","Cancer",0.109689218070428,0.109685052684855,0.09772290300366
"22",55,1,2,"direct","Cancer",0.0949523863281252,0.110814906570323,0.140656071848195
"23",65,1,2,"direct","Cancer",0.0924753577699899,0.124741350247706,0.117625794112304
"24",75,1,2,"direct","Cancer",0.13871004746926,0.0940126492457977,0.11614902496118
"25",25,0,3,"direct","Cancer",0.0751620813960183,0.0774528337774812,0.0597754333852587
"26",35,0,3,"direct","Cancer",0.0824144768921877,0.0750738177130589,0.0871598933281853
"27",45,0,3,"direct","Cancer",0.0794274158319996,0.0944946351948447,0.0603041525018877
"28",55,0,3,"direct","Cancer",0.0948001590045747,0.0810642818798297,0.0965812244516354
"29",65,0,3,"direct","Cancer",0.0799509914201006,0.0872546194232247,0.0687221726335761
"30",75,0,3,"direct","Cancer",0.0739103764388543,0.0687427357253559,0.0635488622632713
"31",25,1,3,"direct","Cancer",0.0805826686907478,0.0712257190960559,0.0946200492093948
"32",35,1,3,"direct","Cancer",0.0644648844530631,0.0732082435099849,0.078483709611284
"33",45,1,3,"direct","Cancer",0.0919243949063346,0.0894912694972692,0.0777059552761892
"34",55,1,3,"direct","Cancer",0.0795249619578714,0.0656477515779695,0.0946386029798395
"35",65,1,3,"direct","Cancer",0.0579497656984042,0.0825554645873933,0.0967279563787835
"36",75,1,3,"direct","Cancer",0.0701544554903358,0.101907189680792,0.0989761446815103
"37",25,0,4,"direct","Cancer",0.0752183190005444,0.0940685129066763,0.0815701218557101
"38",35,0,4,"direct","Cancer",0.0962232573062888,0.0901503016506635,0.0881666318163656
"39",45,0,4,"direct","Cancer",0.111606184917227,0.0855660689788612,0.119399100830907
"40",55,0,4,"direct","Cancer",0.0870498978528018,0.0772507950157812,0.10552361625032
"41",65,0,4,"direct","Cancer",0.0743341588159817,0.0899913072742871,0.0878854596893065
"42",75,0,4,"direct","Cancer",0.109709669384799,0.120625470400505,0.10728094123689
"43",25,1,4,"direct","Cancer",0.0900737146464902,0.084925940983219,0.120951661230265
"44",35,1,4,"direct","Cancer",0.0949571881212444,0.0872754035888583,0.0845724088966305
"45",45,1,4,"direct","Cancer",0.124672325866508,0.0975247979235572,0.0987608528306914
"46",55,1,4,"direct","Cancer",0.113461087178092,0.0944377482205692,0.0959680514803366
"47",65,1,4,"direct","Cancer",0.0925608204827167,0.0838858497420345,0.0914239510913345
"48",75,1,4,"direct","Cancer",0.0824242698429514,0.0903674947154498,0.0733425145461108
"49",25,0,1,"medBMI","Cancer",0.0419782795907528,0.0372359815355303,0.0346765005510253
"50",35,0,1,"medBMI","Cancer",0.0374192696433174,0.03923186831685,0.033506240045601
"51",45,0,1,"medBMI","Cancer",0.0418145346179116,0.0511820525312752,0.0340132706968954
"52",55,0,1,"medBMI","Cancer",0.0365892510571123,0.0366981378648773,0.0430771616691947
"53",65,0,1,"medBMI","Cancer",0.0517426092238418,0.0450932731888318,0.0506015781019589
"54",75,0,1,"medBMI","Cancer",0.0426585775387608,0.0443868065000227,0.0343156698173586
"55",25,1,1,"medBMI","Cancer",0.0388309614911596,0.0464851387026665,0.0274083104734114
"56",35,1,1,"medBMI","Cancer",0.0342918226821817,0.0525837359022061,0.0450326548243299
"57",45,1,1,"medBMI","Cancer",0.0520468240401503,0.0465805900564503,0.0499670279135902
"58",55,1,1,"medBMI","Cancer",0.038543214551563,0.0315135140974335,0.0382272317312324
"59",65,1,1,"medBMI","Cancer",0.0461469523719832,0.0342894975445368,0.0442020614817467
"60",75,1,1,"medBMI","Cancer",0.0516376044497225,0.0484604977335348,0.0416386355760713
"61",25,0,2,"medBMI","Cancer",0.0564015388199741,0.0450302440878263,0.0347657437934205
"62",35,0,2,"medBMI","Cancer",0.0679472398416068,0.0724665489190937,0.0406283337011881
"63",45,0,2,"medBMI","Cancer",0.0447363875389436,0.0490289726371174,0.02713710003492
"64",55,0,2,"medBMI","Cancer",0.0391461917519673,0.0267068423878909,0.049278124662815
"65",65,0,2,"medBMI","Cancer",0.0434114224832205,0.0337578262291314,0.0339357673435625
"66",75,0,2,"medBMI","Cancer",0.0168681956993983,0.021718762311189,0.0200022559274996
"67",25,1,2,"medBMI","Cancer",0.0594373491539156,0.0343977156314687,0.0405619710917817
"68",35,1,2,"medBMI","Cancer",0.0527551931363244,0.0390009905604154,0.0630101519057771
"69",45,1,2,"medBMI","Cancer",0.0485190666192403,0.0435581535033164,0.0502350165535762
"70",55,1,2,"medBMI","Cancer",0.0312513128896615,0.0347711103305556,0.0396947000809378
"71",65,1,2,"medBMI","Cancer",0.0329111040704657,0.0348546253182452,0.0271592720515639
"72",75,1,2,"medBMI","Cancer",0,0.0186851145110467,0.0518572208691944
"73",25,0,3,"medBMI","Cancer",0.010566577209734,0.0231620378201844,0.0250605862267367
