age_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,CED,MJ,-6562106.173697157,-6543879.843562622,-6259072.679723498,-6450342.708929432,178883.6925688366,0,0,0,0,0,-6562106.173697157,-6543879.843562622,-6259072.679723498,-6450342.708929432,178883.6925688366,-157544487.75034276,-156212700.09884968,-154138351.96296987,-155952152.5604684,1806847.5242543088,-4798091.321617984,-4786906.836025632,-4573681.877137944,-4716015.441886918,133113.5593499716,-1764014.8520791729,-1756973.0075369887,-1685390.8025855538,-1734327.2670425149,45793.18557054272,15734790.942790344,16019598.106629469,16037824.436764002,15926060.97199628,178883.6925688366,9475718.263066847,9475718.263066847,9475718.263066847,9475718.263066847,0,11780730.16139106,11993955.12027875,12005139.605871102,11923063.726140037,133113.55934997243,7207048.284253118,7207048.284253118,7207048.284253118,7207048.284253118,0,3954060.7813992826,4025642.986350717,4032684.830892901,4002997.2458562427,45793.18557054259,2268669.978813729,2268669.978813729,2268669.978813729,2268669.978813729,0,-4798091.321617984,-4786906.836025632,-4573681.877137944,-4716015.441886918,133113.5593499716,-1764014.8520791729,-1756973.0075369887,-1685390.8025855538,-1734327.2670425149,45793.18557054272,0,0,0,0,0,0,0,0,0,0,3954060.7813992826,4025642.986350717,4032684.830892901,4002997.2458562427,45793.18557054259,2268669.978813729,2268669.978813729,2268669.978813729,2268669.978813729,0
20-34,HIS,FL,mrh-eq,-202502.87127191984,-202221.09301043968,-196438.5463686566,-200290.99884191234,3602.945373167279,0,0,0,0,0,-202502.87127191984,-202221.09301043968,-196438.5463686566,-200290.99884191234,3602.945373167279,-157544487.75034276,-156212700.09884968,-154138351.96296987,-155952152.5604684,1806847.5242543088,-145953.57041036783,-145916.5682256205,-141733.40545910285,-144461.77503903443,2553.581379047196,-56549.30086155204,-56304.52478481919,-54705.140909553724,-55829.22380287792,1054.2855459161249,529082.6808511302,534865.2274929133,535147.0057543934,532935.133324386,3602.9453731672706,332644.1344824736,332644.1344824736,332644.1344824736,332644.1344824736,0,396432.801907642,400615.9646741596,400652.96685890696,399161.17148757353,2553.581379047196,254699.39644853913,254699.39644853913,254699.39644853913,254699.39644853913,0,132649.87894348818,134249.26281875366,134494.0388954865,133773.96183681238,1054.2855459161349,77944.73803393447,77944.73803393447,77944.73803393447,77944.73803393447,0,-145953.57041036783,-145916.5682256205,-141733.40545910285,-144461.77503903443,2553.581379047196,-56549.30086155204,-56304.52478481919,-54705.140909553724,-55829.22380287792,1054.2855459161249,0,0,0,0,0,0,0,0,0,0,132649.87894348818,134249.26281875366,134494.0388954865,133773.96183681238,1054.2855459161349,77944.73803393447,77944.73803393447,77944.73803393447,77944.73803393447,0
20-34,HIS,Food_price,USD,-5064340.987292232,-5061957.92810221,-5058292.731125949,-5061508.055194758,3207.0456435937945,0,0,0,0,0,-5064340.987292232,-5061957.92810221,-5058292.731125949,-5061508.055194758,3207.0456435937945,-157544487.75034276,-156212700.09884968,-154138351.96296987,-155952152.5604684,1806847.5242543088,-3376431.892526275,-3372613.6282181502,-3370937.203182118,-3373365.1507697613,2964.2733937500734,-1689268.7627725808,-1687833.5576544772,-1687279.9908323523,-1688142.904424996,1080.4622474257776,9816264.212115014,9819929.409091275,9822312.468281297,9819479.536183823,3207.0456435937945,4757971.480989065,4757971.480989065,4757971.480989065,4757971.480989065,0,6585416.929606241,6587093.354642272,6590911.618950397,6587844.877193884,2964.2733937499347,3214479.7264241218,3214479.7264241218,3214479.7264241218,3214479.7264241218,0,3230771.7453972953,3231325.3122194195,3232760.5173375234,3231634.6589899384,1080.462247425489,1543491.7545649426,1543491.7545649426,1543491.7545649426,1543491.7545649426,0,-3376431.892526275,-3372613.6282181502,-3370937.203182118,-3373365.1507697613,2964.2733937500734,-1689268.7627725808,-1687833.5576544772,-1687279.9908323523,-1688142.904424996,1080.4622474257776,0,0,0,0,0,0,0,0,0,0,3230771.7453972953,3231325.3122194195,3232760.5173375234,3231634.6589899384,1080.462247425489,1543491.7545649426,1543491.7545649426,1543491.7545649426,1543491.7545649426,0
20-34,NHB,CED,MJ,-5414936.357577986,-5348930.193137826,-5014019.551758567,-5254577.74508902,226277.53109574018,0,0,0,0,0,-5414936.357577986,-5348930.193137826,-5014019.551758567,-5254577.74508902,226277.53109574018,-156785589.2024884,-156331509.0574108,-141641143.86515602,-151336321.32155916,9069010.507518847,-3980495.9374656766,-3921401.7805155544,-3666321.2415915807,-3852634.6289457823,175752.66987931772,-1434440.4201123095,-1427528.4126222716,-1347698.3101669867,-1401943.1161432378,50746.62267113269,11641104.648753515,11976015.290132772,12042021.454572931,11881662.842083966,226277.53109573983,6627085.096994944,6627085.096994944,6627085.096994944,6627085.096994944,0,8731519.12719361,8986599.66611758,9045693.823067704,8917832.51454781,175752.6698793172,5065197.885602026,5065197.885602026,5065197.885602026,5065197.885602026,0,2909585.5215599057,2989415.6240151906,2996327.6315052286,2963830.3275361564,50746.62267113283,1561887.2113929188,1561887.2113929188,1561887.2113929188,1561887.2113929188,0,-3980495.9374656766,-3921401.7805155544,-3666321.2415915807,-3852634.6289457823,175752.66987931772,-1434440.4201123095,-1427528.4126222716,-1347698.3101669867,-1401943.1161432378,50746.62267113269,0,0,0,0,0,0,0,0,0,0,2909585.5215599057,2989415.6240151906,2996327.6315052286,2963830.3275361564,50746.62267113283,1561887.2113929188,1561887.2113929188,1561887.2113929188,1561887.2113929188,0
20-34,NHB,FL,mrh-eq,-170009.89962863942,-169141.9797744467,-157604.05656091863,-165398.11894660973,7290.083566550685,0,0,0,0,0,-170009.89962863942,-169141.9797744467,-157604.05656091863,-165398.11894660973,7290.083566550685,-156785589.2024884,-156331509.0574108,-141641143.86515602,-151336321.32155916,9069010.507518847,-123630.91185336927,-122664.91382687379,-113821.42306370972,-119900.88128769182,5690.810842751767,-46471.903938504336,-46373.82576620156,-43777.47148814033,-45497.2376589179,1608.5322533585918,388208.97950033995,399746.90271386795,400614.8225680607,396003.041886031,7290.08356655067,230604.92293942126,230604.92293942126,230604.92293942126,230604.92293942126,0,291135.2058099427,299978.69657310675,300944.69459960226,297214.66403392475,5690.810842751772,177313.78274623293,177313.78274623293,177313.78274623293,177313.78274623293,0,97068.61168132866,99664.9659593899,99763.04413169267,98788.37785210623,1608.5322533585936,53291.14019318833,53291.14019318833,53291.14019318833,53291.14019318833,0,-123630.91185336927,-122664.91382687379,-113821.42306370972,-119900.88128769182,5690.810842751767,-46471.903938504336,-46373.82576620156,-43777.47148814033,-45497.2376589179,1608.5322533585918,0,0,0,0,0,0,0,0,0,0,97068.61168132866,99664.9659593899,99763.04413169267,98788.37785210623,1608.5322533585936,53291.14019318833,53291.14019318833,53291.14019318833,53291.14019318833,0
20-34,NHB,Food_price,USD,-5140531.755400556,-4983670.479592647,-4961946.5814892845,-5031087.103348629,102570.87898004285,0,0,0,0,0,-5140531.755400556,-4983670.479592647,-4961946.5814892845,-5031087.103348629,102570.87898004285,-156785589.2024884,-156331509.0574108,-141641143.86515602,-151336321.32155916,9069010.507518847,-3427793.361806435,-3323406.992639034,-3307050.135381391,-3354294.5406775456,68949.36059105225,-1712738.3935941209,-1660263.4869536126,-1654896.4461078942,-1676792.5626710828,33640.62927225983,8791021.289641583,8812745.187744945,8969606.463552855,8860161.811500927,102570.87898004253,3829074.708152299,3829074.708152299,3829074.708152299,3829074.7081522993,0,5910340.917528354,5926697.774785997,6031084.143953399,5957585.322824508,68949.36059105268,2603290.7821469624,2603290.7821469624,2603290.7821469624,2603290.7821469624,0,2880680.3721132306,2886047.41295895,2938522.319599457,2902576.4886764195,33640.629272259735,1225783.9260053365,1225783.9260053365,1225783.9260053365,1225783.9260053365,0,-3427793.361806435,-3323406.992639034,-3307050.135381391,-3354294.5406775456,68949.36059105225,-1712738.3935941209,-1660263.4869536126,-1654896.4461078942,-1676792.5626710828,33640.62927225983,0,0,0,0,0,0,0,0,0,0,2880680.3721132306,2886047.41295895,2938522.319599457,2902576.4886764195,33640.629272259735,1225783.9260053365,1225783.9260053365,1225783.9260053365,1225783.9260053365,0
20-34,NHW,CED,MJ,-19368844.2443306,-18534930.7748669,-18172360.579835553,-18700314.379930884,645810.7033044542,0,0,0,0,0,-19368844.2443306,-18534930.7748669,-18172360.579835553,-18700314.379930884,645810.7033044542,-473120700.7212276,-463676675.21510196,-449346283.58905786,-461962160.78706044,12600639.388506379,-14397101.365658615,-13777515.547983937,-13534644.810433839,-13909696.27785221,468135.9452211606,-4971742.878671985,-4757415.2268829625,-4637715.769401713,-4790618.1020786725,178139.77319542965,42854354.76456666,43216924.959598005,44050838.42906171,43382308.56466199,645810.70330445515,24681994.18473111,24681994.18473111,24681994.18473111,24681994.18473111,0,32384844.72013411,32627715.457684204,33247301.275358886,32759896.187552482,468135.94522116194,18850199.909700267,18850199.909700267,18850199.909700267,18850199.909700267,0,10469510.044432556,10589209.501913805,10803537.153702825,10622412.377109515,178139.77319542965,5831794.275030842,5831794.275030842,5831794.275030842,5831794.275030841,0,-14397101.365658615,-13777515.547983937,-13534644.810433839,-13909696.27785221,468135.9452211606,-4971742.878671985,-4757415.2268829625,-4637715.769401713,-4790618.1020786725,178139.77319542965,0,0,0,0,0,0,0,0,0,0,10469510.044432556,10589209.501913805,10803537.153702825,10622412.377109515,178139.77319542965,5831794.275030842,5831794.275030842,5831794.275030842,5831794.275030841,0
20-34,NHW,FL,mrh-eq,-603887.9151908369,-581262.7698288409,-566044.5642577014,-583861.6960712466,20044.3192851688,0,0,0,0,0,-603887.9151908369,-581262.7698288409,-566044.5642577014,-583861.6960712466,20044.3192851688,-473120700.7212276,-463676675.21510196,-449346283.58905786,-461962160.78706044,12600639.388506379,-441483.8308690472,-425301.95211583766,-415023.137687758,-427373.20275623415,14041.72327569548,-162404.08432178965,-155960.8177130033,-151021.42656994335,-156488.49331501254,6008.276331745765,1444489.7871754908,1459707.9927466302,1482333.1381086262,1462306.918989036,20044.3192851688,878445.2229177894,878445.2229177894,878445.2229177894,878445.2229177892,0,1087038.267275098,1097317.0817031777,1113498.9604563874,1099388.332343574,14041.723275695565,672015.1295873399,672015.1295873399,672015.1295873399,672015.1295873399,0,357451.51990039274,362390.9110434526,368834.1776522389,362918.5866454619,6008.276331745707,206430.0933304493,206430.0933304493,206430.0933304493,206430.0933304493,0,-441483.8308690472,-425301.95211583766,-415023.137687758,-427373.20275623415,14041.72327569548,-162404.08432178965,-155960.8177130033,-151021.42656994335,-156488.49331501254,6008.276331745765,0,0,0,0,0,0,0,0,0,0,357451.51990039274,362390.9110434526,368834.1776522389,362918.5866454619,6008.276331745707,206430.0933304493,206430.0933304493,206430.0933304493,206430.0933304493,0
20-34,NHW,Food_price,USD,-15985868.990937443,-15344635.498790875,-14494221.738032602,-15271238.913313083,787646.4800128622,0,0,0,0,0,-15985868.990937443,-15344635.498790875,-14494221.738032602,-15271238.913313083,787646.4800128622,-473120700.7212276,-463676675.21510196,-449346283.58905786,-461962160.78706044,12600639.388506379,-10651821.48132932,-10226860.141338749,-9663308.67213301,-10178232.025824657,521971.5400476406,-5334047.50960812,-5117775.357452129,-4830913.065899588,-5093006.887488428,265674.940255477,31213559.805109043,32063973.565867316,32705207.05801388,31990576.980389524,787646.4800128596,16719338.067076443,16719338.067076443,16719338.067076443,16719338.067076443,0,21039359.360078137,21602910.82928387,22027872.169274446,21554282.71376978,521971.54004764045,11376050.687945124,11376050.687945124,11376050.687945124,11376050.687945122,0,10174200.445030903,10461062.736583445,10677334.888739437,10436294.266619744,265674.94025547884,5343287.379131316,5343287.379131316,5343287.379131316,5343287.379131316,0,-10651821.48132932,-10226860.141338749,-9663308.67213301,-10178232.025824657,521971.5400476406,-5334047.50960812,-5117775.357452129,-4830913.065899588,-5093006.887488428,265674.940255477,0,0,0,0,0,0,0,0,0,0,10174200.445030903,10461062.736583445,10677334.888739437,10436294.266619744,265674.94025547884,5343287.379131316,5343287.379131316,5343287.379131316,5343287.379131316,0
20-34,OTH,CED,MJ,-3615459.2341536074,-3204575.9197714096,-2953409.571753219,-3260616.960600886,351810.8773552605,0,0,0,0,0,-3615459.2341536074,-3204575.9197714096,-2953409.571753219,-3260616.960600886,351810.8773552605,-95651869.26403604,-85559839.8988259,-73146274.14093986,-84745265.72595717,11866038.064562665,-2665230.4454863355,-2364292.8928886037,-2187148.9417887144,-2407729.2442913554,254418.13982341005,-950228.7886672725,-840283.0268828059,-766260.629964504,-852887.7163095303,97438.73155710657,8097706.622766808,8348872.970784998,8759756.285167197,8404914.011614474,351810.87735526095,5144297.051013589,5144297.051013589,5144297.051013589,5144297.051013589,0,6102004.747208477,6279148.698308365,6580086.250906098,6322585.049711118,254418.13982341034,3914855.8054197626,3914855.8054197626,3914855.8054197626,3914855.805419763,0,1995701.875558331,2069724.2724766326,2179670.034261099,2082328.9619033572,97438.7315571064,1229441.2455938265,1229441.2455938265,1229441.2455938265,1229441.2455938265,0,-2665230.4454863355,-2364292.8928886037,-2187148.9417887144,-2407729.2442913554,254418.13982341005,-950228.7886672725,-840283.0268828059,-766260.629964504,-852887.7163095303,97438.73155710657,0,0,0,0,0,0,0,0,0,0,1995701.875558331,2069724.2724766326,2179670.034261099,2082328.9619033572,97438.7315571064,1229441.2455938265,1229441.2455938265,1229441.2455938265,1229441.2455938265,0
20-34,OTH,FL,mrh-eq,-116911.96821043576,-103493.25620969365,-92637.74275915927,-104392.62412204726,12799.627947133464,0,0,0,0,0,-116911.96821043576,-103493.25620969365,-92637.74275915927,-104392.62412204726,12799.627947133464,-95651869.26403604,-85559839.8988259,-73146274.14093986,-84745265.72595717,11866038.064562665,-84813.61327859454,-75202.18352327106,-67509.35839513905,-75875.37812930315,9126.143561226518,-32098.354931841215,-28291.07268642261,-25128.384364020214,-28517.24599274409,3673.6310567016544,276281.90058177075,287137.41403230507,300556.12603304716,288036.78194465867,12799.627947133456,183644.15782261142,183644.15782261142,183644.15782261142,183644.15782261142,0,207492.38256498455,215185.20769311648,224796.63744844,215858.4022991486,9126.143561226505,139983.02416984545,139983.02416984545,139983.02416984545,139983.02416984545,0,68789.51801678618,71952.20633918859,75759.48858460718,72178.37964551007,3673.631056701654,43661.13365276597,43661.13365276597,43661.13365276597,43661.13365276597,0,-84813.61327859454,-75202.18352327106,-67509.35839513905,-75875.37812930315,9126.143561226518,-32098.354931841215,-28291.07268642261,-25128.384364020214,-28517.24599274409,3673.6310567016544,0,0,0,0,0,0,0,0,0,0,68789.51801678618,71952.20633918859,75759.48858460718,72178.37964551007,3673.631056701654,43661.13365276597,43661.13365276597,43661.13365276597,43661.13365276597,0
20-34,OTH,Food_price,USD,-3044273.5829976536,-2619153.013706544,-2172822.902171477,-2611711.0690595414,458703.5317185018,0,0,0,0,0,-3044273.5829976536,-2619153.013706544,-2172822.902171477,-2611711.0690595414,458703.5317185018,-95651869.26403604,-85559839.8988259,-73146274.14093986,-84745265.72595717,11866038.064562665,-2036491.233296116,-1754404.6360500169,-1455259.8756449842,-1748419.3156433736,305955.1524901962,-1007782.3497015379,-864748.3776565274,-717563.0265264927,-863291.753416168,152752.22109960782,5248870.768779276,5695200.880314343,6120321.449605451,5687758.93566734,458703.5317185016,3076047.866607799,3076047.866607799,3076047.866607799,3076047.8666077987,0,3541416.320111203,3840561.080516235,4122647.677762334,3834575.7601095918,305955.1524901959,2086156.4444662181,2086156.4444662181,2086156.4444662181,2086156.4444662181,0,1707454.4486680732,1854639.799798108,1997673.7718431184,1853183.1755577484,152752.2210996077,989891.4221415805,989891.4221415805,989891.4221415805,989891.4221415805,0,-2036491.233296116,-1754404.6360500169,-1455259.8756449842,-1748419.3156433736,305955.1524901962,-1007782.3497015379,-864748.3776565274,-717563.0265264927,-863291.753416168,152752.22109960782,0,0,0,0,0,0,0,0,0,0,1707454.4486680732,1854639.799798108,1997673.7718431184,1853183.1755577484,152752.2210996077,989891.4221415805,989891.4221415805,989891.4221415805,989891.4221415805,0
35-44,HIS,CED,MJ,-3584425.255463667,-3490312.613337029,-3438930.08175301,-3505305.6345800534,77669.42227560816,0,0,0,0,0,-3584425.255463667,-3490312.613337029,-3438930.08175301,-3505305.6345800534,77669.42227560816,-82433821.11676344,-80519532.54762903,-73607896.24853054,-78766077.20378198,4887131.742054535,-2619687.3006689535,-2549423.4172130893,-2522994.0204604873,-2564803.938863357,52605.461534742055,-964737.9547947136,-940889.1961239397,-915936.0612925239,-940501.6957166969,25687.399275202635,8753652.404227307,8805034.935811326,8899147.577937964,8820027.957054349,77669.42227560714,5314722.322474297,5314722.322474297,5314722.322474297,5314722.322474297,0,6562372.469468118,6588801.86622072,6659065.749676585,6604182.387870987,52605.46153474238,4039378.4490076313,4039378.4490076313,4039378.4490076313,4039378.4490076317,0,2191279.9347591894,2216233.069590606,2240081.8282613796,2215845.5691833626,25687.399275202755,1275343.8734666659,1275343.8734666659,1275343.8734666659,1275343.8734666659,0,-2619687.3006689535,-2549423.4172130893,-2522994.0204604873,-2564803.938863357,52605.461534742055,-964737.9547947136,-940889.1961239397,-915936.0612925239,-940501.6957166969,25687.399275202635,0,0,0,0,0,0,0,0,0,0,2191279.9347591894,2216233.069590606,2240081.8282613796,2215845.5691833626,25687.399275202755,1275343.8734666659,1275343.8734666659,1275343.8734666659,1275343.8734666659,0
35-44,HIS,FL,mrh-eq,-115603.21112615187,-113391.37141435855,-107378.47904536298,-112057.66872762093,4480.249616952494,0,0,0,0,0,-115603.21112615187,-113391.37141435855,-107378.47904536298,-112057.66872762093,4480.249616952494,-82433821.11676344,-80519532.54762903,-73607896.24853054,-78766077.20378198,4887131.742054535,-82789.60189670308,-81272.33325481825,-77297.71271090864,-80410.1045172657,2985.36162176348,-32813.6092294488,-32119.03815954031,-30080.766334454333,-31647.564210355224,1495.169896053186,298766.5642485793,304779.4566175749,306991.29632936826,303445.7539308373,4480.249616952507,191388.08520321638,191388.08520321638,191388.08520321638,191388.08520321638,0,223029.37657486773,227003.99711877728,228521.26576066212,226141.76838122474,2985.361621763467,145731.66386395905,145731.66386395905,145731.66386395905,145731.66386395905,0,75737.18767371165,77775.45949879763,78470.03056870613,77303.98554961255,1495.1698960531849,45656.42133925732,45656.42133925732,45656.42133925732,45656.42133925732,0,-82789.60189670308,-81272.33325481825,-77297.71271090864,-80410.1045172657,2985.36162176348,-32813.6092294488,-32119.03815954031,-30080.766334454333,-31647.564210355224,1495.169896053186,0,0,0,0,0,0,0,0,0,0,75737.18767371165,77775.45949879763,78470.03056870613,77303.98554961255,1495.1698960531849,45656.42133925732,45656.42133925732,45656.42133925732,45656.42133925732,0
35-44,HIS,Food_price,USD,-2842310.737961406,-2840528.622559281,-2367808.143334026,-2675287.0913932705,287832.84229059966,0,0,0,0,0,-2842310.737961406,-2840528.622559281,-2367808.143334026,-2675287.0913932705,287832.84229059966,-82433821.11676344,-80519532.54762903,-73607896.24853054,-78766077.20378198,4887131.742054535,-1889386.8337340495,-1889385.6567474352,-1573301.896125248,-1778479.487050743,192096.1937362181,-952925.0192673065,-951141.7268785677,-794506.1852621143,-896807.6043425276,95739.72102650152,5495185.798304032,5967906.277529285,5969688.392931409,5802664.746363275,287832.84229059925,3127377.6549700047,3127377.6549700047,3127377.6549700047,3127377.6549700047,0,3730505.7547265636,4046589.5153487506,4046590.6923353653,3935683.3456520587,192096.1937362182,2157203.8586013154,2157203.8586013154,2157203.8586013154,2157203.8586013154,0,1764679.9816308036,1921315.5232472569,1923098.8156359957,1866981.4007112167,95739.72102650149,970173.7963686894,970173.7963686894,970173.7963686894,970173.7963686894,0,-1889386.8337340495,-1889385.6567474352,-1573301.896125248,-1778479.487050743,192096.1937362181,-952925.0192673065,-951141.7268785677,-794506.1852621143,-896807.6043425276,95739.72102650152,0,0,0,0,0,0,0,0,0,0,1764679.9816308036,1921315.5232472569,1923098.8156359957,1866981.4007112167,95739.72102650149,970173.7963686894,970173.7963686894,970173.7963686894,970173.7963686894,0
35-44,NHB,CED,MJ,-2910684.292994175,-2766983.688140103,-2667254.637417316,-2782412.3036247646,128815.71840778139,0,0,0,0,0,-2910684.292994175,-2766983.688140103,-2667254.637417316,-2782412.3036247646,128815.71840778139,-84006047.65230502,-76397322.40145591,-74657894.87816745,-78456725.1128807,5233358.946370008,-2125129.653086026,-2026054.034492296,-1945591.8283404564,-2032585.0564017314,94662.71498871448,-785554.6399081495,-740929.6536478074,-721662.8090768593,-749827.2472230332,34498.83037730187,6300438.803327652,6400167.85405044,6543868.458904512,6415596.4695351,128815.71840778184,3633184.165910336,3633184.165910336,3633184.165910336,3633184.1659103357,0,4722379.791992351,4802841.998144191,4901917.61673792,4809373.020053626,94662.71498871426,2776787.9636518946,2776787.9636518946,2776787.9636518946,2776787.9636518946,0,1578059.011335301,1597325.855906249,1641950.8421665914,1606223.4494814752,34498.83037730207,856396.2022584416,856396.2022584416,856396.2022584416,856396.2022584416,0,-2125129.653086026,-2026054.034492296,-1945591.8283404564,-2032585.0564017314,94662.71498871448,-785554.6399081495,-740929.6536478074,-721662.8090768593,-749827.2472230332,34498.83037730187,0,0,0,0,0,0,0,0,0,0,1578059.011335301,1597325.855906249,1641950.8421665914,1606223.4494814752,34498.83037730207,856396.2022584416,856396.2022584416,856396.2022584416,856396.2022584416,0
35-44,NHB,FL,mrh-eq,-93836.72113467492,-87455.114105308,-85074.71233712812,-88859.04577589994,4769.168815996853,0,0,0,0,0,-93836.72113467492,-87455.114105308,-85074.71233712812,-88859.04577589994,4769.168815996853,-84006047.65230502,-76397322.40145591,-74657894.87816745,-78456725.1128807,5233358.946370008,-67673.79310876458,-63241.68975377454,-61259.49717720312,-64101.307570763536,3457.0526854673376,-26162.928025910325,-24213.424351533464,-23815.215159925,-24757.73820513641,1322.5015356098386,210927.54790668626,213307.94967486616,219689.55670423305,214711.8813454581,4769.168815996834,125852.83556955814,125852.83556955814,125852.83556955814,125852.83556955814,0,157973.24363925602,159955.43621582742,164387.5395708175,160815.05403281644,3457.052685467333,96713.7464620529,96713.7464620529,96713.7464620529,96713.7464620529,0,52954.304267430256,53352.51345903872,55302.017133415575,53896.82731264166,1322.5015356098352,29139.089107505246,29139.089107505246,29139.089107505246,29139.089107505246,0,-67673.79310876458,-63241.68975377454,-61259.49717720312,-64101.307570763536,3457.0526854673376,-26162.928025910325,-24213.424351533464,-23815.215159925,-24757.73820513641,1322.5015356098386,0,0,0,0,0,0,0,0,0,0,52954.304267430256,53352.51345903872,55302.017133415575,53896.82731264166,1322.5015356098352,29139.089107505246,29139.089107505246,29139.089107505246,29139.089107505246,0
35-44,NHB,Food_price,USD,-2699188.44489837,-2490892.7565833544,-2391506.713457838,-2529106.6671761614,165284.7942038741,0,0,0,0,0,-2699188.44489837,-2490892.7565833544,-2391506.713457838,-2529106.6671761614,165284.7942038741,-84006047.65230502,-76397322.40145591,-74657894.87816745,-78456725.1128807,5233358.946370008,-1796182.239540764,-1657691.0635993055,-1592624.6169363596,-1683454.1265040468,109434.16460712311,-903006.2053576064,-833201.692984049,-798882.0965214783,-845652.5406721145,55852.88466819223,4093356.2970125955,4192742.340138112,4401038.0284531275,4230956.250730918,165284.79420387404,1701849.5835547575,1701849.5835547575,1701849.5835547575,1701849.5835547575,0,2731167.078565516,2796233.5252284626,2934724.7011699206,2821996.5881332033,109434.16460712302,1138542.4616291567,1138542.4616291567,1138542.4616291567,1138542.4616291567,0,1362189.218447079,1396508.8149096498,1466313.3272832073,1408959.6625977152,55852.884668192295,563307.1219256009,563307.1219256009,563307.1219256009,563307.1219256009,0,-1796182.239540764,-1657691.0635993055,-1592624.6169363596,-1683454.1265040468,109434.16460712311,-903006.2053576064,-833201.692984049,-798882.0965214783,-845652.5406721145,55852.88466819223,0,0,0,0,0,0,0,0,0,0,1362189.218447079,1396508.8149096498,1466313.3272832073,1408959.6625977152,55852.884668192295,563307.1219256009,563307.1219256009,563307.1219256009,563307.1219256009,0
