"race","outcome","pathway","riskfactor","V1","V2","V3"
1,"AA","direct","dairy_tot",0,0,0
1,"AA","medBMI","dairy_tot",0,0,0
1,"AA","medSBP","dairy_tot",0,0,0
2,"AA","direct","dairy_tot",0,0,0
2,"AA","medBMI","dairy_tot",0,0,0
2,"AA","medSBP","dairy_tot",0,0,0
3,"AA","direct","dairy_tot",0,0,0
3,"AA","medBMI","dairy_tot",0,0,0
3,"AA","medSBP","dairy_tot",0,0,0
4,"AA","direct","dairy_tot",0,0,0
4,"AA","medBMI","dairy_tot",0,0,0
4,"AA","medSBP","dairy_tot",0,0,0
1,"AFF","direct","dairy_tot",0,0,0
1,"AFF","medBMI","dairy_tot",0,0,0
1,"AFF","medSBP","dairy_tot",0,0,0
2,"AFF","direct","dairy_tot",0,0,0
2,"AFF","medBMI","dairy_tot",0,0,0
2,"AFF","medSBP","dairy_tot",0,0,0
3,"AFF","direct","dairy_tot",0,0,0
3,"AFF","medBMI","dairy_tot",0,0,0
3,"AFF","medSBP","dairy_tot",0,0,0
4,"AFF","direct","dairy_tot",0,0,0
4,"AFF","medBMI","dairy_tot",0,0,0
4,"AFF","medSBP","dairy_tot",0,0,0
1,"APCA","direct","dairy_tot",0,0,0
1,"APCA","medBMI","dairy_tot",0,0,0
1,"APCA","medSBP","dairy_tot",0,0,0
2,"APCA","direct","dairy_tot",0,0,0
2,"APCA","medBMI","dairy_tot",0,0,0
2,"APCA","medSBP","dairy_tot",0,0,0
3,"APCA","direct","dairy_tot",0,0,0
3,"APCA","medBMI","dairy_tot",0,0,0
3,"APCA","medSBP","dairy_tot",0,0,0
4,"APCA","direct","dairy_tot",0,0,0
4,"APCA","medBMI","dairy_tot",0,0,0
4,"APCA","medSBP","dairy_tot",0,0,0
1,"BC","direct","dairy_tot",0,0,0
1,"BC","medBMI","dairy_tot",0,0,0
1,"BC","medSBP","dairy_tot",0,0,0
2,"BC","direct","dairy_tot",0,0,0
2,"BC","medBMI","dairy_tot",0,0,0
2,"BC","medSBP","dairy_tot",0,0,0
3,"BC","direct","dairy_tot",0,0,0
3,"BC","medBMI","dairy_tot",0,0,0
3,"BC","medSBP","dairy_tot",0,0,0
4,"BC","direct","dairy_tot",0,0,0
4,"BC","medBMI","dairy_tot",0,0,0
4,"BC","medSBP","dairy_tot",0,0,0
1,"CC","direct","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
1,"CC","medBMI","dairy_tot",0,0,0
1,"CC","medSBP","dairy_tot",0,0,0
2,"CC","direct","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
2,"CC","medBMI","dairy_tot",0,0,0
2,"CC","medSBP","dairy_tot",0,0,0
3,"CC","direct","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
3,"CC","medBMI","dairy_tot",0,0,0
3,"CC","medSBP","dairy_tot",0,0,0
4,"CC","direct","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
4,"CC","medBMI","dairy_tot",0,0,0
4,"CC","medSBP","dairy_tot",0,0,0
1,"CM","direct","dairy_tot",0,0,0
1,"CM","medBMI","dairy_tot",0,0,0
1,"CM","medSBP","dairy_tot",0,0,0
2,"CM","direct","dairy_tot",0,0,0
2,"CM","medBMI","dairy_tot",0,0,0
2,"CM","medSBP","dairy_tot",0,0,0
3,"CM","direct","dairy_tot",0,0,0
3,"CM","medBMI","dairy_tot",0,0,0
3,"CM","medSBP","dairy_tot",0,0,0
4,"CM","direct","dairy_tot",0,0,0
4,"CM","medBMI","dairy_tot",0,0,0
4,"CM","medSBP","dairy_tot",0,0,0
1,"DIAB","direct","dairy_tot",0,0,0
1,"DIAB","medBMI","dairy_tot",0,0,0
1,"DIAB","medSBP","dairy_tot",0,0,0
2,"DIAB","direct","dairy_tot",0,0,0
2,"DIAB","medBMI","dairy_tot",0,0,0
2,"DIAB","medSBP","dairy_tot",0,0,0
3,"DIAB","direct","dairy_tot",0,0,0
3,"DIAB","medBMI","dairy_tot",0,0,0
3,"DIAB","medSBP","dairy_tot",0,0,0
4,"DIAB","direct","dairy_tot",0,0,0
4,"DIAB","medBMI","dairy_tot",0,0,0
4,"DIAB","medSBP","dairy_tot",0,0,0
1,"ECA","direct","dairy_tot",0,0,0
1,"ECA","medBMI","dairy_tot",0,0,0
1,"ECA","medSBP","dairy_tot",0,0,0
2,"ECA","direct","dairy_tot",0,0,0
2,"ECA","medBMI","dairy_tot",0,0,0
2,"ECA","medSBP","dairy_tot",0,0,0
3,"ECA","direct","dairy_tot",0,0,0
3,"ECA","medBMI","dairy_tot",0,0,0
3,"ECA","medSBP","dairy_tot",0,0,0
4,"ECA","direct","dairy_tot",0,0,0
4,"ECA","medBMI","dairy_tot",0,0,0
4,"ECA","medSBP","dairy_tot",0,0,0
1,"ENDO","direct","dairy_tot",0,0,0
1,"ENDO","medBMI","dairy_tot",0,0,0
1,"ENDO","medSBP","dairy_tot",0,0,0
2,"ENDO","direct","dairy_tot",0,0,0
2,"ENDO","medBMI","dairy_tot",0,0,0
2,"ENDO","medSBP","dairy_tot",0,0,0
3,"ENDO","direct","dairy_tot",0,0,0
3,"ENDO","medBMI","dairy_tot",0,0,0
3,"ENDO","medSBP","dairy_tot",0,0,0
4,"ENDO","direct","dairy_tot",0,0,0
4,"ENDO","medBMI","dairy_tot",0,0,0
4,"ENDO","medSBP","dairy_tot",0,0,0
1,"GC","direct","dairy_tot",0,0,0
1,"GC","medBMI","dairy_tot",0,0,0
1,"GC","medSBP","dairy_tot",0,0,0
2,"GC","direct","dairy_tot",0,0,0
2,"GC","medBMI","dairy_tot",0,0,0
2,"GC","medSBP","dairy_tot",0,0,0
3,"GC","direct","dairy_tot",0,0,0
3,"GC","medBMI","dairy_tot",0,0,0
3,"GC","medSBP","dairy_tot",0,0,0
4,"GC","direct","dairy_tot",0,0,0
4,"GC","medBMI","dairy_tot",0,0,0
4,"GC","medSBP","dairy_tot",0,0,0
1,"HHD","direct","dairy_tot",0,0,0
1,"HHD","medBMI","dairy_tot",0,0,0
1,"HHD","medSBP","dairy_tot",0,0,0
2,"HHD","direct","dairy_tot",0,0,0
2,"HHD","medBMI","dairy_tot",0,0,0
2,"HHD","medSBP","dairy_tot",0,0,0
3,"HHD","direct","dairy_tot",0,0,0
3,"HHD","medBMI","dairy_tot",0,0,0
3,"HHD","medSBP","dairy_tot",0,0,0
4,"HHD","direct","dairy_tot",0,0,0
4,"HHD","medBMI","dairy_tot",0,0,0
4,"HHD","medSBP","dairy_tot",0,0,0
1,"HSTK","direct","dairy_tot",0,0,0
1,"HSTK","medBMI","dairy_tot",0,0,0
1,"HSTK","medSBP","dairy_tot",0,0,0
2,"HSTK","direct","dairy_tot",0,0,0
2,"HSTK","medBMI","dairy_tot",0,0,0
2,"HSTK","medSBP","dairy_tot",0,0,0
3,"HSTK","direct","dairy_tot",0,0,0
3,"HSTK","medBMI","dairy_tot",0,0,0
3,"HSTK","medSBP","dairy_tot",0,0,0
4,"HSTK","direct","dairy_tot",0,0,0
4,"HSTK","medBMI","dairy_tot",0,0,0
4,"HSTK","medSBP","dairy_tot",0,0,0
1,"IHD","direct","dairy_tot",0,0,0
1,"IHD","medBMI","dairy_tot",0,0,0
1,"IHD","medSBP","dairy_tot",0,0,0
2,"IHD","direct","dairy_tot",0,0,0
2,"IHD","medBMI","dairy_tot",0,0,0
2,"IHD","medSBP","dairy_tot",0,0,0
3,"IHD","direct","dairy_tot",0,0,0
3,"IHD","medBMI","dairy_tot",0,0,0
3,"IHD","medSBP","dairy_tot",0,0,0
4,"IHD","direct","dairy_tot",0,0,0
4,"IHD","medBMI","dairy_tot",0,0,0
4,"IHD","medSBP","dairy_tot",0,0,0
1,"ISTK","direct","dairy_tot",0,0,0
1,"ISTK","medBMI","dairy_tot",0,0,0
1,"ISTK","medSBP","dairy_tot",0,0,0
2,"ISTK","direct","dairy_tot",0,0,0
2,"ISTK","medBMI","dairy_tot",0,0,0
2,"ISTK","medSBP","dairy_tot",0,0,0
3,"ISTK","direct","dairy_tot",0,0,0
3,"ISTK","medBMI","dairy_tot",0,0,0
3,"ISTK","medSBP","dairy_tot",0,0,0
4,"ISTK","direct","dairy_tot",0,0,0
4,"ISTK","medBMI","dairy_tot",0,0,0
4,"ISTK","medSBP","dairy_tot",0,0,0
1,"KC","direct","dairy_tot",0,0,0
1,"KC","medBMI","dairy_tot",0,0,0
1,"KC","medSBP","dairy_tot",0,0,0
2,"KC","direct","dairy_tot",0,0,0
2,"KC","medBMI","dairy_tot",0,0,0
2,"KC","medSBP","dairy_tot",0,0,0
3,"KC","direct","dairy_tot",0,0,0
3,"KC","medBMI","dairy_tot",0,0,0
3,"KC","medSBP","dairy_tot",0,0,0
4,"KC","direct","dairy_tot",0,0,0
4,"KC","medBMI","dairy_tot",0,0,0
4,"KC","medSBP","dairy_tot",0,0,0
1,"LC","direct","dairy_tot",0,0,0
1,"LC","medBMI","dairy_tot",0,0,0
1,"LC","medSBP","dairy_tot",0,0,0
2,"LC","direct","dairy_tot",0,0,0
2,"LC","medBMI","dairy_tot",0,0,0
2,"LC","medSBP","dairy_tot",0,0,0
3,"LC","direct","dairy_tot",0,0,0
3,"LC","medBMI","dairy_tot",0,0,0
3,"LC","medSBP","dairy_tot",0,0,0
4,"LC","direct","dairy_tot",0,0,0
4,"LC","medBMI","dairy_tot",0,0,0
4,"LC","medSBP","dairy_tot",0,0,0
1,"LVC","direct","dairy_tot",0,0,0
1,"LVC","medBMI","dairy_tot",0,0,0
1,"LVC","medSBP","dairy_tot",0,0,0
2,"LVC","direct","dairy_tot",0,0,0
2,"LVC","medBMI","dairy_tot",0,0,0
2,"LVC","medSBP","dairy_tot",0,0,0
3,"LVC","direct","dairy_tot",0,0,0
3,"LVC","medBMI","dairy_tot",0,0,0
3,"LVC","medSBP","dairy_tot",0,0,0
4,"LVC","direct","dairy_tot",0,0,0
4,"LVC","medBMI","dairy_tot",0,0,0
4,"LVC","medSBP","dairy_tot",0,0,0
1,"MLPC","direct","dairy_tot",0,0,0
1,"MLPC","medBMI","dairy_tot",0,0,0
1,"MLPC","medSBP","dairy_tot",0,0,0
2,"MLPC","direct","dairy_tot",0,0,0
2,"MLPC","medBMI","dairy_tot",0,0,0
2,"MLPC","medSBP","dairy_tot",0,0,0
3,"MLPC","direct","dairy_tot",0,0,0
3,"MLPC","medBMI","dairy_tot",0,0,0
3,"MLPC","medSBP","dairy_tot",0,0,0
4,"MLPC","direct","dairy_tot",0,0,0
4,"MLPC","medBMI","dairy_tot",0,0,0
4,"MLPC","medSBP","dairy_tot",0,0,0
1,"MMC","direct","dairy_tot",0,0,0
1,"MMC","medBMI","dairy_tot",0,0,0
1,"MMC","medSBP","dairy_tot",0,0,0
2,"MMC","direct","dairy_tot",0,0,0
2,"MMC","medBMI","dairy_tot",0,0,0
2,"MMC","medSBP","dairy_tot",0,0,0
3,"MMC","direct","dairy_tot",0,0,0
3,"MMC","medBMI","dairy_tot",0,0,0
3,"MMC","medSBP","dairy_tot",0,0,0
4,"MMC","direct","dairy_tot",0,0,0
4,"MMC","medBMI","dairy_tot",0,0,0
4,"MMC","medSBP","dairy_tot",0,0,0
1,"OC","direct","dairy_tot",0,0,0
1,"OC","medBMI","dairy_tot",0,0,0
1,"OC","medSBP","dairy_tot",0,0,0
