"age","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","leg_tot",1.41167345891436,0.0216230751573771,1.4178458494387,1.38914585479515,1.42895453108788,0.00893998986711997,0.000247335681527412,0.00907957574345297,0.00867567317840785,0.00908565856094903,0.907957574345297,0.867567317840785,0.908565856094903,0.00209537257709454,3.20955235299715e-05,0.00210453436855428,0.00206193444478359,0.0021210231866647
25,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","leg_tot",0.101192640966581,0.0239598842877335,0.105631807764728,0.0768390192166541,0.121772970938084,0.00893587424633687,0.00178924040664647,0.00994274061698906,0.00702369046262272,0.00999222161499665,0.994274061698906,0.702369046262272,0.999222161499665,0.000150202076511527,3.55640918017151e-05,0.000156791212487165,0.000114053553037144,0.00018074983440662
25,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","leg_tot",0.00879467944920422,0.00136346971647718,0.00922583006325565,0.00736566058019191,0.00985722029627282,0.000910163651608449,0.000261618394890516,0.000912135513256329,0.000660793429995573,0.00115785779082063,0.0912135513256329,0.0660793429995573,0.115785779082063,1.30541025800481e-05,2.02382288592596e-06,1.36940672741323e-05,1.09329838954326e-05,1.46312512746921e-05
25,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"CC","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0716163085471317,0.00243806617565305,0.0715906839044108,0.0693111321009958,0.0739432659395804,7.15906839044108,6.93111321009958,7.39432659395804,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"CC","leg_tot",2.16415740532456,0.574544483489704,2.13445402044523,1.63151142927236,2.72205125852418,0.000803466805434618,0.000202700596226433,0.000843814061634332,0.00059663629711182,0.000976002145987659,0.0843814061634332,0.0596636297111819,0.0976002145987659,0.00321229817773902,0.000852806821168906,0.0031682089036013,0.00242168207280931,0.00404039016568579
