"age","race","pathway","disease_type1","riskfactor","V1","V2","V3"
25,1,"direct","CMD","dairy_tot",0,0,0
25,1,"medBMI","CMD","dairy_tot",0,0,0
25,1,"medSBP","CMD","dairy_tot",0,0,0
25,2,"direct","CMD","dairy_tot",0,0,0
25,2,"medBMI","CMD","dairy_tot",0,0,0
25,2,"medSBP","CMD","dairy_tot",0,0,0
25,3,"direct","CMD","dairy_tot",0,0,0
25,3,"medBMI","CMD","dairy_tot",0,0,0
25,3,"medSBP","CMD","dairy_tot",0,0,0
25,4,"direct","CMD","dairy_tot",0,0,0
25,4,"medBMI","CMD","dairy_tot",0,0,0
25,4,"medSBP","CMD","dairy_tot",0,0,0
35,1,"direct","CMD","dairy_tot",0,0,0
35,1,"medBMI","CMD","dairy_tot",0,0,0
35,1,"medSBP","CMD","dairy_tot",0,0,0
35,2,"direct","CMD","dairy_tot",0,0,0
35,2,"medBMI","CMD","dairy_tot",0,0,0
35,2,"medSBP","CMD","dairy_tot",0,0,0
35,3,"direct","CMD","dairy_tot",0,0,0
35,3,"medBMI","CMD","dairy_tot",0,0,0
35,3,"medSBP","CMD","dairy_tot",0,0,0
35,4,"direct","CMD","dairy_tot",0,0,0
35,4,"medBMI","CMD","dairy_tot",0,0,0
35,4,"medSBP","CMD","dairy_tot",0,0,0
45,1,"direct","CMD","dairy_tot",0,0,0
45,1,"medBMI","CMD","dairy_tot",0,0,0
45,1,"medSBP","CMD","dairy_tot",0,0,0
45,2,"direct","CMD","dairy_tot",0,0,0
45,2,"medBMI","CMD","dairy_tot",0,0,0
45,2,"medSBP","CMD","dairy_tot",0,0,0
45,3,"direct","CMD","dairy_tot",0,0,0
45,3,"medBMI","CMD","dairy_tot",0,0,0
45,3,"medSBP","CMD","dairy_tot",0,0,0
45,4,"direct","CMD","dairy_tot",0,0,0
45,4,"medBMI","CMD","dairy_tot",0,0,0
45,4,"medSBP","CMD","dairy_tot",0,0,0
55,1,"direct","CMD","dairy_tot",0,0,0
55,1,"medBMI","CMD","dairy_tot",0,0,0
55,1,"medSBP","CMD","dairy_tot",0,0,0
55,2,"direct","CMD","dairy_tot",0,0,0
55,2,"medBMI","CMD","dairy_tot",0,0,0
55,2,"medSBP","CMD","dairy_tot",0,0,0
55,3,"direct","CMD","dairy_tot",0,0,0
55,3,"medBMI","CMD","dairy_tot",0,0,0
55,3,"medSBP","CMD","dairy_tot",0,0,0
55,4,"direct","CMD","dairy_tot",0,0,0
55,4,"medBMI","CMD","dairy_tot",0,0,0
55,4,"medSBP","CMD","dairy_tot",0,0,0
65,1,"direct","CMD","dairy_tot",0,0,0
65,1,"medBMI","CMD","dairy_tot",0,0,0
65,1,"medSBP","CMD","dairy_tot",0,0,0
65,2,"direct","CMD","dairy_tot",0,0,0
65,2,"medBMI","CMD","dairy_tot",0,0,0
65,2,"medSBP","CMD","dairy_tot",0,0,0
65,3,"direct","CMD","dairy_tot",0,0,0
65,3,"medBMI","CMD","dairy_tot",0,0,0
65,3,"medSBP","CMD","dairy_tot",0,0,0
65,4,"direct","CMD","dairy_tot",0,0,0
65,4,"medBMI","CMD","dairy_tot",0,0,0
65,4,"medSBP","CMD","dairy_tot",0,0,0
75,1,"direct","CMD","dairy_tot",0,0,0
75,1,"medBMI","CMD","dairy_tot",0,0,0
75,1,"medSBP","CMD","dairy_tot",0,0,0
75,2,"direct","CMD","dairy_tot",0,0,0
75,2,"medBMI","CMD","dairy_tot",0,0,0
75,2,"medSBP","CMD","dairy_tot",0,0,0
75,3,"direct","CMD","dairy_tot",0,0,0
75,3,"medBMI","CMD","dairy_tot",0,0,0
75,3,"medSBP","CMD","dairy_tot",0,0,0
75,4,"direct","CMD","dairy_tot",0,0,0
75,4,"medBMI","CMD","dairy_tot",0,0,0
75,4,"medSBP","CMD","dairy_tot",0,0,0
25,1,"direct","Cancer","dairy_tot",118.871694545708,121.738394361547,95.5865270034201
25,1,"medBMI","Cancer","dairy_tot",0,0,0
25,1,"medSBP","Cancer","dairy_tot",0,0,0
25,2,"direct","Cancer","dairy_tot",18.5827991552442,21.6122868162402,21.7143849783125
25,2,"medBMI","Cancer","dairy_tot",0,0,0
25,2,"medSBP","Cancer","dairy_tot",0,0,0
25,3,"direct","Cancer","dairy_tot",43.3263385250252,39.9660316974364,38.4282481197123
25,3,"medBMI","Cancer","dairy_tot",0,0,0
25,3,"medSBP","Cancer","dairy_tot",0,0,0
25,4,"direct","Cancer","dairy_tot",19.7234146310159,20.3762358186722,19.2920289936367
25,4,"medBMI","Cancer","dairy_tot",0,0,0
25,4,"medSBP","Cancer","dairy_tot",0,0,0
35,1,"direct","Cancer","dairy_tot",305.639138622548,250.181295356467,301.869850425366
35,1,"medBMI","Cancer","dairy_tot",0,0,0
35,1,"medSBP","Cancer","dairy_tot",0,0,0
35,2,"direct","Cancer","dairy_tot",87.6318464971621,118.820180677202,106.256558695283
35,2,"medBMI","Cancer","dairy_tot",0,0,0
35,2,"medSBP","Cancer","dairy_tot",0,0,0
35,3,"direct","Cancer","dairy_tot",84.9961470638435,86.0080466094202,101.365287468511
35,3,"medBMI","Cancer","dairy_tot",0,0,0
35,3,"medSBP","Cancer","dairy_tot",0,0,0
35,4,"direct","Cancer","dairy_tot",64.7224491839698,50.4006064854252,53.1800341556953
35,4,"medBMI","Cancer","dairy_tot",0,0,0
35,4,"medSBP","Cancer","dairy_tot",0,0,0
45,1,"direct","Cancer","dairy_tot",836.19994825053,766.401838566511,575.475320869294
45,1,"medBMI","Cancer","dairy_tot",0,0,0
45,1,"medSBP","Cancer","dairy_tot",0,0,0
45,2,"direct","Cancer","dairy_tot",246.28381729493,230.403955854933,256.115466361198
45,2,"medBMI","Cancer","dairy_tot",0,0,0
45,2,"medSBP","Cancer","dairy_tot",0,0,0
45,3,"direct","Cancer","dairy_tot",210.497775766981,234.290479492193,155.375254039462
45,3,"medBMI","Cancer","dairy_tot",0,0,0
45,3,"medSBP","Cancer","dairy_tot",0,0,0
45,4,"direct","Cancer","dairy_tot",257.24256399424,190.639533856077,259.141013820352
45,4,"medBMI","Cancer","dairy_tot",0,0,0
45,4,"medSBP","Cancer","dairy_tot",0,0,0
55,1,"direct","Cancer","dairy_tot",1664.82747060086,1842.94568211737,1921.87117921951
55,1,"medBMI","Cancer","dairy_tot",0,0,0
55,1,"medSBP","Cancer","dairy_tot",0,0,0
